      0        1        2     3        4       5        6       7      8       9       10     11      12      13       14      15      16      17      18      19      20     21       22     23      24       25      26      27      28     29      30       31      32       33     34      35     36       37     38      39       40     41      42       43     44      45       46     47      48       49
 0   0.000   0.658   0.184  -0.577   0.450   0.033   0.499  -0.095   0.702   0.021   0.294  -0.554  -0.452   0.088  -0.037   0.183   0.040  -0.245   0.234   0.550   0.379  -0.739  -0.233  -0.555   0.351   0.604  -0.327   0.052  -0.187  -0.022  -0.158  -0.655   0.063   0.532   0.174   0.485  -0.117   0.263   0.326  -0.365   0.343   0.057   0.129   0.443   0.000   0.099  -0.153   0.605  -0.395  -0.089
 1   0.658   0.000   0.532  -0.232   0.864   0.426   0.911   0.012   0.703   0.546   0.299  -0.635  -0.496   0.345   0.424   0.503   0.419  -0.497   0.667   0.775   0.680  -0.396  -0.629  -0.718   0.155   0.826  -0.774   0.543  -0.552  -0.468   0.413  -0.281   0.224   0.812   0.348   0.694  -0.544   0.177   0.670  -0.265   0.010   0.291  -0.336   0.708   0.490  -0.375  -0.409   0.808  -0.448  -0.307
 2   0.184   0.532   0.000   0.173   0.683   0.337   0.749  -0.464   0.058   0.301  -0.230  -0.447  -0.704  -0.307   0.227   0.199   0.878  -0.591   0.342   0.736   0.826  -0.085  -0.851  -0.684  -0.317   0.465  -0.516   0.326  -0.242  -0.850   0.748   0.230   0.316   0.622  -0.242   0.532  -0.038   0.136   0.191  -0.494   0.054  -0.102  -0.754   0.552   0.220  -0.509  -0.375   0.671  -0.221  -0.672
 3  -0.577  -0.232   0.173   0.000  -0.155  -0.112  -0.149   0.122  -0.577   0.043  -0.147   0.523   0.220   0.019   0.069  -0.250   0.193   0.005  -0.122  -0.233  -0.173   0.546  -0.021   0.343  -0.533  -0.069  -0.067  -0.009   0.035  -0.250   0.171   0.520  -0.317  -0.157  -0.248  -0.332  -0.111   0.108  -0.167   0.145  -0.234  -0.311  -0.419  -0.430   0.259  -0.232  -0.359  -0.306   0.234  -0.315
 4   0.450   0.864   0.683  -0.155   0.000   0.614   0.941  -0.036   0.595   0.684   0.276  -0.621  -0.542   0.231   0.561   0.692   0.626  -0.554   0.803   0.749   0.866  -0.255  -0.798  -0.754   0.174   0.603  -0.769   0.685  -0.600  -0.614   0.674  -0.062   0.469   0.651   0.371   0.767  -0.476  -0.128   0.717  -0.225   0.029   0.428  -0.438   0.694   0.461  -0.568  -0.452   0.861  -0.287  -0.248
 5   0.033   0.426   0.337  -0.112   0.614   0.000   0.551   0.129   0.383   0.770   0.209  -0.472   0.031   0.345   0.719   0.706   0.352  -0.029   0.680   0.325   0.529   0.190  -0.446  -0.438   0.446   0.184  -0.400   0.875  -0.642  -0.246   0.642   0.063   0.637   0.302   0.632   0.715  -0.142  -0.423   0.671   0.168  -0.311   0.781  -0.066   0.617   0.572  -0.308   0.136   0.406  -0.165   0.248
 6   0.499   0.911   0.749  -0.149   0.941   0.551   0.000  -0.173   0.590   0.607   0.155  -0.712  -0.610   0.151   0.472   0.569   0.649  -0.575   0.719   0.835   0.856  -0.304  -0.843  -0.820   0.067   0.723  -0.780   0.615  -0.577  -0.684   0.666  -0.098   0.358   0.804   0.252   0.761  -0.427   0.048   0.617  -0.330  -0.013   0.290  -0.510   0.790   0.486  -0.502  -0.382   0.856  -0.390  -0.377
 7  -0.095   0.012  -0.464   0.122  -0.036   0.129  -0.173   0.000   0.122   0.320   0.440   0.398   0.554   0.802   0.315   0.351  -0.438   0.315   0.213  -0.446  -0.291   0.221   0.410   0.470   0.348  -0.087  -0.159   0.321  -0.400   0.387  -0.205  -0.155   0.016  -0.309   0.682  -0.122  -0.321  -0.340   0.516   0.717  -0.304   0.375   0.304  -0.262   0.382  -0.010  -0.135  -0.279  -0.071   0.533
 8   0.702   0.703   0.058  -0.577   0.595   0.383   0.590   0.122   0.000   0.451   0.567  -0.622  -0.230   0.400   0.376   0.562   0.025  -0.088   0.552   0.494   0.400  -0.453  -0.285  -0.457   0.520   0.534  -0.465   0.476  -0.545  -0.033   0.064  -0.518   0.181   0.523   0.527   0.636  -0.403   0.039   0.619  -0.016  -0.003   0.500   0.121   0.558   0.275   0.049  -0.025   0.608  -0.383   0.162
 9   0.021   0.546   0.301   0.043   0.684   0.770   0.607   0.320   0.451   0.000   0.380  -0.234   0.046   0.626   0.886   0.740   0.381  -0.037   0.786   0.315   0.464   0.351  -0.523  -0.235   0.204   0.270  -0.546   0.886  -0.675  -0.361   0.689   0.241   0.455   0.276   0.648   0.512  -0.572  -0.318   0.799   0.331  -0.497   0.663  -0.288   0.458   0.768  -0.467  -0.283   0.354  -0.014   0.134
