   0    1    2    3    4    5
 NaN  NaN  NaN  NaN  NaN  NaN
49.0  NaN  NaN  NaN  NaN  NaN
22.0 29.0  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
22.0 29.0  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
12.0 22.0 23.0 29.0 42.0  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 6.0 19.0 20.0 47.0  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
22.0 29.0  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
12.0  NaN  NaN  NaN  NaN  NaN
12.0 22.0 29.0  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 2.0  4.0  6.0 16.0 20.0 35.0
 6.0 47.0  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
49.0  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 2.0  4.0  6.0 16.0 20.0  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
49.0  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
22.0  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 6.0  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
12.0 23.0  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN
 1.0 25.0 33.0  NaN  NaN  NaN
