   0    1    2    3    4    5    6    7    8
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 6.0 19.0 33.0  NaN  NaN  NaN  NaN  NaN  NaN
 4.0  6.0 16.0 19.0 20.0 35.0 43.0 47.0  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 2.0  6.0 16.0 20.0 35.0 47.0  NaN  NaN  NaN
27.0 30.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 1.0  2.0  4.0 16.0 19.0 20.0 33.0 43.0 47.0
11.0 13.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
14.0 27.0 31.0  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 7.0 13.0 23.0 39.0  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 7.0 11.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 9.0 31.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 2.0  4.0  6.0 20.0 30.0  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 1.0  2.0  6.0 20.0 47.0  NaN  NaN  NaN  NaN
 2.0  4.0  6.0 16.0 19.0 35.0 47.0  NaN  NaN
31.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
29.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
11.0 39.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
33.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 5.0  9.0 30.0 31.0  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
22.0 42.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 5.0 16.0 27.0  NaN  NaN  NaN  NaN  NaN  NaN
 9.0 14.0 21.0 27.0  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 1.0  6.0 25.0  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 2.0  4.0 20.0 47.0  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
11.0 23.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
29.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 2.0  6.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
 2.0  4.0  6.0 19.0 20.0 35.0  NaN  NaN  NaN
49.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
48.0  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
